9.38E-01,9.38E-01,9.38E-01,9.38E-01,9.38E-01,9.38E-01,9.38E-01,9.38E-01,9.38E-01,9.38E-01
7.75E-01,7.93E-01,8.21E-01,8.54E-01,7.50E-01,8.06E-01,8.29E-01,7.76E-01,7.70E-01,6.98E-01
5.95E-01,5.55E-01,5.54E-01,6.01E-01,3.78E-01,6.62E-01,5.43E-01,6.78E-01,6.03E-01,6.26E-01
2.79E-01,4.21E-01,3.51E-01,3.48E-01,3.09E-01,3.29E-01,4.27E-01,2.49E-01,4.32E-01,4.16E-01
1.91E-01,2.61E-01,2.14E-01,1.65E-01,2.21E-01,2.54E-01,2.29E-01,1.99E-01,2.36E-01,2.62E-01
1.13E-01,1.13E-01,1.13E-01,1.13E-01,1.13E-01,1.13E-01,1.13E-01,1.13E-01,1.13E-01,1.13E-01
